product_id,product_name,category,subcategory,brand,cost_price,selling_price,stock_quantity
PROD00001,How Laptops,Electronics,Laptops,Dove,69700.44,107560.75,74
PROD00002,Career Clothing,Fashion,Clothing,Penguin,7699.44,13344.44,92
PROD00003, Adult Laptops ,Electronics,Laptops,Penguin,23983.32,47677.98,437
PROD00004,Though Comics,Books,Comics,Puma,433.03,945.43,243
PROD00005,Test Children,Books,Children,Apple,442.6,938.76,317
PROD00006, Perhaps Personal Care ,Beauty,Personal Care,Nike,1441.57,3286.66,18
PROD00007,Daughter Clothing,Fashion,Clothing,Adidas,2849.56,4079.3,55
PROD00008,SCHOOL NON-FICTION,Books,Non-Fiction,Adidas,955.53,2233.33,304
PROD00009,THROW WATER SPORTS,Sports,Water Sports,Puma,6069.88,11170.3,18
PROD00010,Hit Headphones,Electronics,Headphones,HarperCollins,10075,19555.43,281
PROD00011, Hard Headphones ,Electronics,Headphones,HarperCollins,25581.39,53479.92,268
PROD00012, Set Footwear ,Fashion,Footwear,Loreal,7840.99,16414.48,44
PROD00013,Husband Comics,Books,Comics,Adidas,697.88,1794.74,132
PROD00014,Those Water Sports,Sports,Water Sports,Nike,5030.03,10284.38,373
PROD00015, Street Fragrance ,Beauty,Fragrance,Philips,2091.96,3631.08,99
PROD00016,ATTORNEY SMARTPHONES,Electronics,Smartphones,Dove,64754.94,155813.5,106
PROD00017,Take Outdoor,Furniture,Outdoor,IKEA,17034.95,42741.8,108
PROD00018, Site Laptops ,Electronics,Laptops,Samsung,28082.94,57851.82,165
PROD00019,SIMPLY LIVING ROOM,Furniture,Living Room,IKEA,16678.55,39804.94,315
PROD00020,REAL LAPTOPS,Electronics,Laptops,HarperCollins,30345.26,70058.39,469
PROD00021,Ability Fiction,Books,Fiction,Dove,744.87,1935.05,458
PROD00022,Support Lighting,Home,Lighting,Loreal,4408.96,9177.73,289
PROD00023, Word Haircare ,Beauty,Haircare,Philips,5578.3,13941.86,454
PROD00024,DIFFICULT DINING,Furniture,Dining,Nike,14059.78,18935.15,192
PROD00025,Senior Personal Care,Beauty,Personal Care,Amazon Basics,1742.82,2571.12,400
PROD00026,Reflect Dining,Furniture,Dining,Apple,13674.39,19557.07,449
PROD00027,Outside Accessories,Fashion,Accessories,Sony,4343.27,6786.44,191
PROD00028,Pick Living Room,Furniture,Living Room,Puma,23757.77,59359.69,463
PROD00029,HAIR OUTDOOR,Sports,Outdoor,Puma,5939.8,12387.11,397
PROD00030, Career Furniture ,Home,Furniture,Lenovo,31098.84,46619.52,370
PROD00031,Start Tablets,Electronics,Tablets,Samsung,5308.24,14324.32,351
PROD00032,Run Outdoor,Furniture,Outdoor,Apple,6433.42,15757.18,381
PROD00033,Past Kitchenware,Home,Kitchenware,Sony,15797.86,25099.93,141
PROD00034,Model Team Sports,Sports,Team Sports,Adidas,1449.77,2479.77,7
PROD00035, Than Water Sports ,Sports,Water Sports,IKEA,4530.12,7731,482
PROD00036, Adult Haircare ,Beauty,Haircare,Adidas,5022.12,9080.54,227
PROD00037,STAND LAPTOPS,Electronics,Laptops,Dove,8784.2,16473.88,44
PROD00038,BILL CHILDREN,Books,Children,Philips,1347.79,3024.72,353
PROD00039,Drop Fragrance,Beauty,Fragrance,HarperCollins,1825.73,4450.41,414
PROD00040,Long Fitness,Sports,Fitness,Puma,4671.98,6724.73,410
PROD00041,BY FRAGRANCE,Beauty,Fragrance,Adidas,5570.48,13175.99,238
PROD00042, Change Non-Fiction ,Books,Non-Fiction,Philips,461.27,851.12,93
PROD00043,Fact Haircare,Beauty,Haircare,Puma,4053.8,5667.41,57
PROD00044, Cut Lighting ,Home,Lighting,Penguin,16990.46,36733.67,260
PROD00045,Language Tablets,Electronics,Tablets,IKEA,46711.24,65694.03,154
PROD00046,Worry Cycling,Sports,Cycling,Philips,2176.42,3348.49,246
PROD00047,Her Fiction,Books,Fiction,Philips,703.61,1949.22,290
PROD00048, Often Dining ,Furniture,Dining,Dove,30793.02,74181.94,364
PROD00049,GENERAL CYCLING,Sports,Cycling,Philips,3864.39,8241.32,420
PROD00050,Notice Non-Fiction,Books,Non-Fiction,Philips,252.24,635.92,394
PROD00051,Hit Office,Furniture,Office,Apple,5892.92,14882.87,454
PROD00052,Impact Fitness,Sports,Fitness,Puma,4390.67,8276.3,295
PROD00053,FOOD NON-FICTION,Books,Non-Fiction,IKEA,519.63,1294.67,347
PROD00054,Sound Lighting,Home,Lighting,Samsung,27057.26,59992.33,261
