item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM0000001,ORD000001,PROD00284,5,3583.48,3.98
ITEM0000002,ORD000002,PROD00120,3,1922.05,16.55
ITEM0000003,ORD000002,PROD00222,2,529.14,14.56
ITEM0000004,ORD000002,PROD00123,3,16024.54,4.08
ITEM0000005,ORD000002,PROD00085,5,3944.47,7.13
ITEM0000006,ORD000002,PROD00115,1,3345.82,10.69
ITEM0000007,ORD000002,PROD00270,5,16051.61,18.49
ITEM0000008,ORD000003,PROD00212,3,18473.59,4.1
ITEM0000009,ORD000003,PROD00295,5,6438.13,23.47
ITEM0000010,ORD000003,PROD00201,5,331.81,3.29
ITEM0000011,ORD000003,PROD00120,4,1922.05,17.12
ITEM0000012,ORD000004,PROD00036,4,9080.54,7.62
ITEM0000013,ORD000004,PROD00289,1,1903.39,27.76
ITEM0000014,ORD000004,PROD00019,3,39804.94,8.37
ITEM0000015,ORD000004,PROD00082,1,4931.74,9.54
ITEM0000016,ORD000004,PROD00189,-4,9958.04,17.26
ITEM0000017,ORD000004,PROD00266,4,150138.51,28.92
ITEM0000018,ORD000005,PROD00079,3,11534.5,5.32
ITEM0000019,ORD000005,PROD00194,2,1718.09,6.85
ITEM0000020,ORD000005,PROD00258,1,11131.97,23.51
ITEM0000021,ORD000006,PROD00162,4,44239.81,33.39
ITEM0000022,ORD000007,PROD00195,2,45234.5,133.75
ITEM0000023,ORD000007,PROD00144,4,35676.4,33.87
ITEM0000024,ORD000007,PROD00126,2,14276.93,24.15
ITEM0000025,ORD000007,PROD00253,1,30181.5,28.66
ITEM0000026,ORD000007,PROD00297,4,1866.66,22.96
ITEM0000027,ORD000008,PROD00128,2,2957.45,1.07
ITEM0000028,ORD000008,PROD00173,5,77771.82,30.86
ITEM0000029,ORD000009,PROD00283,2,34928.13,8.52
ITEM0000030,ORD000009,PROD00003,5,47677.98,29.78
ITEM0000031,ORD000009,PROD00278,2,48030.22,11.82
ITEM0000032,ORD000009,PROD00162,1,44239.81,31.3
ITEM0000033,ORD000009,PROD00013,2,1794.74,5.78
ITEM0000034,ORD000010,PROD00254,5,83824.83,24.87
ITEM0000035,ORD000010,PROD00289,2,1903.39,0.59
ITEM0000036,ORD000010,PROD00121,4,79730.15,10.89
ITEM0000037,ORD000010,PROD00141,5,738.47,24.91
ITEM0000038,ORD000011,PROD00252,1,8369.69,3.7
ITEM0000039,ORD000011,PROD00087,5,9237.82,4.26
ITEM0000040,ORD000012,PROD00003,5,47677.98,9.43
ITEM0000041,ORD000012,PROD00190,4,4989.53,10.91
ITEM0000042,ORD000012,PROD00195,1,45234.5,4.14
ITEM0000043,ORD000013,PROD00102,4,20526.64,5.82
ITEM0000044,ORD000014,PROD00171,3,1587.59,13.27
ITEM0000045,ORD000015,PROD00090,4,12776.72,17.73
ITEM0000046,ORD000015,PROD00119,4,1779.27,28.24
ITEM0000047,ORD000015,PROD00140,3,10466.68,19.83
ITEM0000048,ORD000016,PROD00015,0,3631.08,3.02
ITEM0000049,ORD000016,PROD00212,2,18473.59,33.48
ITEM0000050,ORD000016,PROD00193,5,33770.04,4.4
ITEM0000051,ORD000016,PROD00228,2,12035.67,18.73
ITEM0000052,ORD000017,PROD00298,3,1958.18,0.75
ITEM0000053,ORD000018,PROD00133,1,16317.65,2.98
ITEM0000054,ORD000018,PROD00185,1,88426.11,14.42
ITEM0000055,ORD000019,PROD00010,2,19555.43,8.82
ITEM0000056,ORD000019,PROD00243,4,19132.03,6.05
ITEM0000057,ORD000019,PROD00293,3,6508.01,30.67
ITEM0000058,ORD000020,PROD00182,3,60233.51,14.97
ITEM0000059,ORD000020,PROD00071,1,6126.45,16.66
ITEM0000060,ORD000021,PROD00223,2,31608.39,126.6
ITEM0000061,ORD000021,PROD00035,4,7731.0,20.3
ITEM0000062,ORD000021,PROD00164,5,136789.18,4.11
ITEM0000063,ORD000022,PROD00283,2,34928.13,31.83
ITEM0000064,ORD000022,PROD00250,1,2595.77,1.62
ITEM0000065,ORD000023,PROD00239,5,18153.0,23.91
ITEM0000066,ORD000024,PROD00173,4,77771.82,25.85
ITEM0000067,INVALID_ORD_39132,PROD00139,5,12429.19,24.46
ITEM0000068,ORD000024,PROD00089,2,14553.94,5.24
ITEM0000069,ORD000024,PROD00278,2,48030.22,23.61
ITEM0000070,ORD000024,PROD00184,4,99913.97,19.42
ITEM0000071,ORD000024,PROD00025,2,2571.12,9.59
ITEM0000072,ORD000025,PROD00242,1,49321.02,19.61
ITEM0000073,ORD000025,PROD00034,5,2479.77,33.59
ITEM0000074,ORD000025,PROD00268,5,247.24,32.76
ITEM0000075,ORD000025,PROD00296,1,75276.41,2.66
ITEM0000076,ORD000025,PROD00132,3,1220.54,33.87
ITEM0000077,ORD000025,PROD00259,2,32817.74,12.71
ITEM0000078,ORD000026,PROD00155,4,6690.65,26.94
ITEM0000079,ORD000026,PROD00280,3,93322.92,17.4
ITEM0000080,ORD000026,PROD00248,3,13070.96,25.48
ITEM0000081,ORD000026,PROD00029,4,12387.11,22.14
ITEM0000082,ORD000026,PROD00089,3,14553.94,26.28
ITEM0000083,ORD000026,PROD00285,1,87613.3,5.81
ITEM0000084,ORD000027,PROD00031,5,14324.32,25.48
ITEM0000085,ORD000027,PROD00221,3,6476.61,19.23
ITEM0000086,ORD000027,PROD00293,3,6508.01,14.09
ITEM0000087,ORD000027,PROD00272,2,43464.46,137.31
ITEM0000088,ORD000027,PROD00242,1,49321.02,29.5
ITEM0000089,ORD000028,PROD00126,4,14276.93,22.1
ITEM0000090,ORD000029,PROD00223,5,31608.39,28.02
ITEM0000091,ORD000029,PROD00018,5,57851.82,8.21
ITEM0000092,ORD000029,PROD00080,4,8705.25,15.41
ITEM0000093,ORD000029,PROD00091,5,922.64,16.62
ITEM0000094,ORD000030,PROD00175,4,5323.61,16.48
ITEM0000095,ORD000030,PROD00142,1,3142.8,17.58
ITEM0000096,INVALID_ORD_63461,PROD_DUP_764,3,10284.38,0.12
ITEM0000097,ORD000031,PROD00100,3,9419.26,5.22
ITEM0000098,ORD000032,PROD00204,5,56411.49,7.58
ITEM0000099,ORD000032,PROD00200,3,23481.36,12.99
ITEM0000100,ORD000033,PROD00006,5,3286.66,34.97
ITEM0000101,ORD000033,PROD00133,1,16317.65,3.03
ITEM0000102,ORD000034,PROD00077,3,949.09,12.88
ITEM0000103,ORD000034,PROD00286,2,11352.93,20.77
ITEM0000104,ORD000035,PROD00184,2,99913.97,14.29
ITEM0000105,ORD000035,PROD00100,2,9419.26,34.75
ITEM0000106,ORD000035,PROD00273,3,5839.38,33.13
ITEM0000107,ORD000035,PROD00239,2,18153.0,28.48
ITEM0000108,ORD000035,PROD00091,2,922.64,3.57
ITEM0000109,ORD000035,PROD00118,4,85972.81,25.0
ITEM0000110,ORD000036,PROD00300,3,1163.82,32.75
ITEM0000111,ORD000036,PROD00229,1,17916.53,31.04
ITEM0000112,ORD000036,PROD00064,5,6397.09,18.67
ITEM0000113,ORD000036,PROD00043,2,5667.41,19.16
ITEM0000114,ORD000036,PROD00138,4,14451.36,18.33
ITEM0000115,ORD000037,PROD00191,1,18482.44,23.06
ITEM0000116,ORD000037,PROD00198,3,88452.16,10.75
ITEM0000117,ORD000037,PROD00074,1,2883.54,18.88
ITEM0000118,ORD000037,PROD00081,4,14240.57,24.97
