po_id,vendor_id,item_name,quantity,po_date,region,ingestion_timestamp,load_date,pipeline_run_id,source_file
PO000001,V0271,Structural Lubricant,148.0,2024-06-11 00:00:00,West,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000002,V0046,Safety Gearbox Premium,151.0,2025-07-24 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000003,V0202,Mechanical Flow Meter,16.0,2024-10-04 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000004,V0186,Mechanical Flow Meter,null,2022-07-06 00:00:00,West,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000005, V0130 ,Instrumentation Flow Meter Heavy Duty,316.0,2024-08-20 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000006,V0362,Structural Copper Wire Premium,332.0,2023-12-14 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000007,V0246,Electrical Steel Rod Kit,119.0,2024-04-16 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000008,V0042,Safety Transformer Oil Premium,null,2023-11-14 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000009,V0113,Instrumentation Flow Meter Heavy Duty,495.0,2023-10-20 00:00:00,West,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000010,V0341,Structural Pressure Gauge Standard,303.0,2025-10-04 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000011,V0041,Fluid Conveyor Belt,69.0,2022-08-03 00:00:00,east,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
null,V0429,Fluid Control Panel Premium,249.0,2022-11-26 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000013,V0245,Instrumentation Safety Helmet,160.0,2023-11-07 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000014,V0238,Mechanical Fasteners Heavy Duty,291.0,2024-04-23 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000015,V0294,Structural Conveyor Belt Premium,328.0,2025-11-21 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000016,V0414,Mechanical Welding Rod Heavy Duty,321.0,2024-10-11 00:00:00,West,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000017,V0173,Fluid Flow Meter Kit,150.0,2023-08-14 00:00:00,West,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
null,V0340,Instrumentation Flow Meter Heavy Duty,255.0,2025-09-18 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000019,V0279,Instrumentation Pneumatic Cylinder Premium,182.0,2024-03-31 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000020,V0133,Mechanical Fasteners Premium,432.0,2025-01-31 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000021,V0443,Electrical Gearbox Kit,281.0,2022-03-17 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000022,V0400,Fluid Pneumatic Cylinder,46.0,2024-07-20 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000023,V0330,Mechanical Copper Wire Heavy Duty,319.0,2022-06-30 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000024,null,Structural Steel Rod Kit,247.0,2023-10-07 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000025,V0439,Instrumentation Copper Wire,195.0,2023-06-01 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000026,V0355,Instrumentation Pneumatic Cylinder Premium,98.0,2023-10-25 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000027,V0422,Fluid Bearing Premium,213.0,2022-08-26 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000028,V0350,Mechanical Safety Helmet Standard,484.0,2024-04-07 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000029,V0341,Instrumentation Fasteners,268.0,2024-11-19 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000030,V0309,Safety Welding Rod Kit,283.0,2022-01-03 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000031,V0378,Structural Steel Rod Kit,63.0,2025-09-08 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000032,V0082,Electrical Safety Helmet Kit,401.0,2025-01-16 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000033,V0444,Instrumentation Pneumatic Cylinder Premium,302.0,2024-08-04 00:00:00,central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000034,V0440,Structural Pneumatic Cylinder Premium,48.0,2024-04-26 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000035,V0015,Fluid Pneumatic Cylinder,485.0,2022-04-22 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000036,V0414,Safety Control Panel Heavy Duty,272.0,2023-01-20 00:00:00,West,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000037,V0068,Instrumentation Circuit Breaker Standard,184.0,2024-11-27 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000038,V0167,Safety Welding Rod Kit,129.0,2024-01-11 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000039,V0375,Structural Valves Standard,428.0,2025-06-29 00:00:00,west,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000040,V0083,Instrumentation Flow Meter Premium,257.0,2024-10-17 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000041,V0411,Electrical Steel Rod Standard,219.0,2025-07-04 00:00:00,East,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000042,null,Electrical Steel Rod Kit,137.0,2024-06-24 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000043,V0249,Safety Pneumatic Cylinder,352.0,2022-04-16 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000044,V0004,Electrical Conveyor Belt Heavy Duty,24.0,2023-02-21 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000045,V0144,Structural Pneumatic Cylinder Premium,119.0,2023-07-01 00:00:00,North,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000046,V0308,Mechanical Pressure Gauge Premium,43.0,2025-01-29 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000047,V0492,Instrumentation Bearing,251.0,2022-09-26 00:00:00,Central,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
PO000048,V0316,Mechanical Electric Motor Premium,328.0,2023-08-13 00:00:00,South,2026-07-09T18:01:16.324Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,purchase_orders
