contract_id,vendor_id,item_name,category,contract_price,payment_terms,effective_date,ingestion_timestamp,load_date,pipeline_run_id,source_file
CON000001,V0277,Safety Flow Meter Kit,Safety,318.19,Net45,2022-09-28,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000002,V0123,Safety Transformer Oil Heavy Duty,Safety,537.39,Net60,2021-08-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000003,V0133,Safety Pneumatic Cylinder,Safety,238.63,Net45,2021-10-21,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000004,V0053,Mechanical Pressure Gauge Premium,Mechanical,3287.82,Net45,2024-12-19,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000005,V0074,Instrumentation Steel Rod,Instrumentation,2947.73,Net30,2022-12-18,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000006,V0333,Safety Lubricant Standard,Safety,465.4,Net60,2024-11-20,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000007,V0307,Electrical Lubricant Heavy Duty,Electrical,2555.16,Net30,2024-03-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000008,V0418,Safety Transformer Oil Premium,Safety,132.45,Net45,2022-05-20,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000009,V0424,Mechanical Welding Rod Heavy Duty,Mechanical,848.85,Net30,2021-04-12,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000010,V0034,Electrical Lubricant Heavy Duty,Electrical,2525.46,Net15,2022-02-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000011,V0372,Mechanical Conveyor Belt,Mechanical,3382.57,Net30,2022-06-11,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000012,V0499,Structural Copper Wire Premium,Structural,1906.79,Net60,2021-11-30,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000013,V0021,Fluid Lubricant Standard,Fluid,270.34,Net15,2021-07-30,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000014,V0364,Safety Hydraulic Pump Standard,Safety,98.48,Net15,2021-04-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000015,V0337,Safety Welding Rod Kit,Safety,326.77,Net30,2024-12-21,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000016,V0321,Mechanical Circuit Breaker Premium,Mechanical,3110.77,Net15,2021-11-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000017,V0101,Fluid Flow Meter Kit,Fluid,239.42,Net60,2024-11-13,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000018,V0314,Structural PVC Pipe Heavy Duty,Structural,784.98,Net60,2022-04-26,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000019,V0155,Safety Hydraulic Pump Heavy Duty,Safety,51.1,Net15,2022-03-29,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000020,V0052,Structural Transformer Oil,Structural,549.74,Net30,2023-10-08,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000021,V0298,Safety Gearbox Premium,Safety,382.34,Net45,2021-10-10,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000022,V0283,Structural Bearing Kit,Structural,1546.09,Net999,2024-08-10,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000023,V0126,Safety Flow Meter Kit,Safety,351.64,Net30,2023-01-09,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000024,null,Electrical Copper Wire Premium,Electrical,1246.15,Net60,2022-10-27,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000025,V0284,Electrical Gearbox Kit,Electrical,1960.46,Net45,2021-04-27,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000026,V0309,Structural Lubricant,Structural,3358.44,Net15,2023-02-17,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000027,V0159,Fluid Conveyor Belt Kit,Fluid,1445.52,Net60,2022-12-24,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000028,V0386,Mechanical PVC Pipe Premium,Mechanical,1296.86,Net15,2021-04-19,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
