vendor_id,po_id,item_name,quantity,contract_price,actual_amount,expected_amount,variance,variance_percentage,price_status,gold_load_timestamp
V0167,PO000038,Safety Welding Rod Kit,129.0,294.19,38219.63,37950.51,269.11999999999534,0.71,Overcharged,2026-07-12T08:48:38.325Z
V0013,PO000077,Fluid Steel Rod Standard,35.0,2163.74,108101.16,75730.9,32370.26000000001,42.74,Overcharged,2026-07-12T08:48:38.325Z
V0435,PO000147,Safety Welding Rod Kit,210.0,314.94,66338.65,66137.4,201.25,0.3,Overcharged,2026-07-12T08:48:38.325Z
V0246,PO000326,Instrumentation Fasteners,38.0,2137.46,79698.71,81223.48,-1524.7699999999895,-1.88,Undercharged,2026-07-12T08:48:38.325Z
V0346,PO000600,Electrical Conveyor Belt Standard,443.0,1376.32,618582.91,609709.76,8873.150000000023,1.46,Overcharged,2026-07-12T08:48:38.325Z
V0130,PO000852,Structural Copper Wire Premium,278.0,1978.85,547689.18,550120.2999999999,-2431.119999999879,-0.44,Undercharged,2026-07-12T08:48:38.325Z
V0255,PO000969,Structural Conveyor Belt Premium,47.0,372.53,17337.65,17508.91,-171.2599999999984,-0.98,Undercharged,2026-07-12T08:48:38.325Z
V0400,PO000974,Electrical Pvc Pipe Premium,156.0,2774.8,440710.11,432868.80000000005,7841.3099999999395,1.81,Overcharged,2026-07-12T08:48:38.325Z
V0460,PO000976,Instrumentation Valves Heavy Duty,226.0,3339.47,722695.71,754720.22,-32024.51000000001,-4.24,Undercharged,2026-07-12T08:48:38.325Z
V0496,PO001284,Fluid Safety Helmet Kit,255.0,1580.46,407270.36,403017.3,4253.059999999998,1.06,Overcharged,2026-07-12T08:48:38.325Z
V0144,PO001309,Mechanical Electric Motor Premium,202.0,930.88,186876.57,188037.76,-1161.1900000000023,-0.62,Undercharged,2026-07-12T08:48:38.325Z
V0446,PO001387,Safety Pneumatic Cylinder Kit,70.0,213.77,14845.5,14963.900000000001,-118.40000000000146,-0.79,Undercharged,2026-07-12T08:48:38.325Z
V0398,PO001436,Fluid Bearing Premium,84.0,969.87,82680.04,81469.08,1210.9599999999919,1.49,Overcharged,2026-07-12T08:48:38.325Z
V0341,PO001463,Mechanical Copper Wire Heavy Duty,417.0,3698.7,1527010.62,1542357.9,-15347.279999999795,-1.0,Undercharged,2026-07-12T08:48:38.325Z
V0206,PO001563,Structural Safety Helmet Heavy Duty,246.0,962.51,240152.91,236777.46,3375.4500000000116,1.43,Overcharged,2026-07-12T08:48:38.325Z
V0236,PO001684,Mechanical Copper Wire Heavy Duty,378.0,3627.65,1359846.96,1371251.7,-11404.73999999999,-0.83,Undercharged,2026-07-12T08:48:38.325Z
V0347,PO001767,Electrical Safety Helmet Kit,346.0,1490.97,511242.22,515875.62,-4633.400000000023,-0.9,Undercharged,2026-07-12T08:48:38.325Z
V0492,PO001913,Structural Transformer Oil Kit,360.0,2964.44,1050553.84,1067198.4,-16644.559999999823,-1.56,Undercharged,2026-07-12T08:48:38.325Z
V0178,PO002062,Fluid Safety Helmet Standard,318.0,633.68,187438.26,201510.24,-14071.979999999981,-6.98,Undercharged,2026-07-12T08:48:38.325Z
V0211,PO002365,Safety Transformer Oil Heavy Duty,86.0,492.13,43133.25,42323.18,810.0699999999997,1.91,Overcharged,2026-07-12T08:48:38.325Z
V0330,PO002370,Fluid Control Panel Premium,427.0,2203.11,991396.25,940727.9700000001,50668.27999999991,5.39,Overcharged,2026-07-12T08:48:38.325Z
V0192,PO002563,Safety Pressure Gauge Kit,451.0,427.92,195471.36,192991.92,2479.439999999973,1.28,Overcharged,2026-07-12T08:48:38.325Z
V0186,PO002600,Instrumentation Hydraulic Pump Premium,373.0,3617.58,1359323.72,1349357.34,9966.379999999888,0.74,Overcharged,2026-07-12T08:48:38.325Z
V0425,PO002780,Electrical Pvc Pipe Premium,364.0,2497.72,923887.35,909170.08,14717.270000000019,1.62,Overcharged,2026-07-12T08:48:38.325Z
V0214,PO002921,Safety Transformer Oil Heavy Duty,134.0,480.06,64248.24,64328.04,-79.80000000000291,-0.12,Undercharged,2026-07-12T08:48:38.325Z
V0049,PO003018,Instrumentation Copper Wire,463.0,3746.47,1731843.66,1734615.6099999999,-2771.9499999999534,-0.16,Undercharged,2026-07-12T08:48:38.325Z
V0201,PO003391,Mechanical Electric Motor Standard,15.0,2040.46,30847.04,30606.9,240.13999999999942,0.78,Overcharged,2026-07-12T08:48:38.325Z
V0474,PO003516,Electrical Pvc Pipe Premium,257.0,2830.53,715404.88,727446.2100000001,-12041.330000000075,-1.66,Undercharged,2026-07-12T08:48:38.325Z
