region,vendor_id,total_spend,average_spend,total_purchase_orders,vendor_rank,total_vendors,gold_load_timestamp
CENTRAL,V0341,85705105.31999996,132670.44167182656,481,1,101,2026-07-12T09:09:56.639Z
CENTRAL,V0153,85346933.44999991,141537.20306799322,444,2,101,2026-07-12T09:09:56.639Z
CENTRAL,V0466,84405574.75999999,181908.56629310342,341,3,101,2026-07-12T09:09:56.639Z
CENTRAL,V0492,82962143.11000004,213270.29077120833,297,4,101,2026-07-12T09:09:56.639Z
CENTRAL,V0075,79542644.01999995,163667.9918106995,371,5,101,2026-07-12T09:09:56.639Z
CENTRAL,V0155,69725671.88999996,166409.71811455837,313,6,101,2026-07-12T09:09:56.639Z
CENTRAL,V0042,69141224.19999997,156428.1090497737,321,7,101,2026-07-12T09:09:56.639Z
CENTRAL,V0289,68558099.61000003,141648.96613636368,355,8,101,2026-07-12T09:09:56.639Z
CENTRAL,V0449,67506755.35999998,191237.26730878183,268,9,101,2026-07-12T09:09:56.639Z
CENTRAL,V0046,67222056.76,135802.13486868687,388,10,101,2026-07-12T09:09:56.639Z
CENTRAL,V0440,58072955.669999965,129627.13319196421,348,11,101,2026-07-12T09:09:56.639Z
CENTRAL,V0187,57607045.61000005,142239.61879012358,297,12,101,2026-07-12T09:09:56.639Z
CENTRAL,V0460,56775471.96999998,156838.32035911595,268,13,101,2026-07-12T09:09:56.639Z
CENTRAL,V0177,56109673.279999994,141691.09414141413,283,14,101,2026-07-12T09:09:56.639Z
CENTRAL,V0355,55725736.769999996,127518.84844393592,329,15,101,2026-07-12T09:09:56.639Z
CENTRAL,V0073,55591379.02,143276.7500515464,295,16,101,2026-07-12T09:09:56.639Z
CENTRAL,V0482,54777414.85999998,163028.0204166666,254,17,101,2026-07-12T09:09:56.639Z
CENTRAL,V0238,54515675.03,138014.36716455696,303,18,101,2026-07-12T09:09:56.639Z
CENTRAL,V0307,54211779.72000003,153140.6206779662,264,19,101,2026-07-12T09:09:56.639Z
CENTRAL,V0459,52585311.59000001,155577.84494082842,255,20,101,2026-07-12T09:09:56.639Z
CENTRAL,V0324,52495423.290000014,194427.4936666667,192,21,101,2026-07-12T09:09:56.639Z
CENTRAL,V0112,52208355.139999986,161136.89858024687,228,22,101,2026-07-12T09:09:56.639Z
CENTRAL,V0339,50915252.859999985,137981.71506775063,293,23,101,2026-07-12T09:09:56.639Z
CENTRAL,V0054,50804548.93999999,158764.21543749998,238,24,101,2026-07-12T09:09:56.639Z
CENTRAL,V0213,49507703.209999986,147784.18868656713,247,25,101,2026-07-12T09:09:56.639Z
CENTRAL,V0248,48820231.24999999,182847.30805243444,203,26,101,2026-07-12T09:09:56.639Z
CENTRAL,V0131,48660475.690000005,128053.88339473685,276,27,101,2026-07-12T09:09:56.639Z
CENTRAL,V0102,48330804.64999999,193323.21859999996,201,28,101,2026-07-12T09:09:56.639Z
CENTRAL,V0216,47235746.929999985,176912.90985018722,198,29,101,2026-07-12T09:09:56.639Z
CENTRAL,V0107,46730528.31,197175.22493670887,167,30,101,2026-07-12T09:09:56.639Z
CENTRAL,V0450,45995478.82,178277.04968992248,198,31,101,2026-07-12T09:09:56.639Z
CENTRAL,V0147,45218275.64999997,150226.82940199325,228,32,101,2026-07-12T09:09:56.639Z
CENTRAL,V0126,44476722.36000001,116736.80409448821,281,33,101,2026-07-12T09:09:56.639Z
CENTRAL,V0152,44250636.11999998,140478.20990476184,237,34,101,2026-07-12T09:09:56.639Z
CENTRAL,V0198,44229951.06999999,202889.6838073394,157,35,101,2026-07-12T09:09:56.639Z
CENTRAL,V0277,44000321.74,227980.9416580311,142,36,101,2026-07-12T09:09:56.639Z
CENTRAL,V0251,41700842.56000001,141839.6005442177,228,37,101,2026-07-12T09:09:56.639Z
CENTRAL,V0092,41167640.82999999,157730.4246360153,193,38,101,2026-07-12T09:09:56.639Z
CENTRAL,V0486,40513347.86,147858.93379562043,201,39,101,2026-07-12T09:09:56.639Z
CENTRAL,V0178,40049736.07000001,144583.8847292419,203,40,101,2026-07-12T09:09:56.639Z
CENTRAL,V0128,39396050.26,139208.65816254416,207,41,101,2026-07-12T09:09:56.639Z
CENTRAL,V0050,38773122.60000001,135097.98815331014,210,42,101,2026-07-12T09:09:56.639Z
CENTRAL,V0208,38374713.62,161918.6228691983,175,43,101,2026-07-12T09:09:56.639Z
CENTRAL,V0381,37223848.379999995,146550.58417322833,200,44,101,2026-07-12T09:09:56.639Z
CENTRAL,V0444,37083619.33000001,118857.75426282056,243,45,101,2026-07-12T09:09:56.639Z
CENTRAL,V0306,36711126.71999999,143402.83874999997,192,46,101,2026-07-12T09:09:56.639Z
CENTRAL,V0453,34537072.89,124682.5736101083,217,47,101,2026-07-12T09:09:56.639Z
CENTRAL,V0105,34139118.88000001,147788.39341991345,178,48,101,2026-07-12T09:09:56.639Z
CENTRAL,V0327,33992860.519999996,155218.5411872146,148,49,101,2026-07-12T09:09:56.639Z
CENTRAL,V0026,32974897.440000005,128306.99392996111,201,50,101,2026-07-12T09:09:56.639Z
CENTRAL,V0141,32092895.720000003,157318.1162745098,154,51,101,2026-07-12T09:09:56.639Z
CENTRAL,V0344,31904849.96000001,126606.5474603175,186,52,101,2026-07-12T09:09:56.639Z
CENTRAL,V0298,31715742.389999993,183327.99069364156,125,53,101,2026-07-12T09:09:56.639Z
CENTRAL,V0470,31154788.54000001,132011.81584745768,177,54,101,2026-07-12T09:09:56.639Z
CENTRAL,V0008,31126775.119999986,111966.81697841722,207,55,101,2026-07-12T09:09:56.639Z
CENTRAL,V0215,30715958.04,135911.31876106194,161,56,101,2026-07-12T09:09:56.639Z
CENTRAL,V0283,30361831.320000008,143894.9351658768,155,57,101,2026-07-12T09:09:56.639Z
CENTRAL,V0181,29643811.699999996,126682.95598290596,169,58,101,2026-07-12T09:09:56.639Z
CENTRAL,V0493,29494279.580000013,151252.71579487185,136,59,101,2026-07-12T09:09:56.639Z
CENTRAL,V0483,28888017.63,141607.92955882353,153,60,101,2026-07-12T09:09:56.639Z
CENTRAL,V0018,28552846.47000002,141350.72509901001,146,61,101,2026-07-12T09:09:56.639Z
CENTRAL,V0052,27933697.139999993,155187.2063333333,133,62,101,2026-07-12T09:09:56.639Z
CENTRAL,V0476,27911935.730000004,154209.5896685083,134,63,101,2026-07-12T09:09:56.639Z
CENTRAL,V0174,27848648.25,153014.55082417582,129,64,101,2026-07-12T09:09:56.639Z
CENTRAL,V0308,27056228.19999999,185316.63150684925,118,65,101,2026-07-12T09:09:56.639Z
CENTRAL,V0300,27011050.000000004,131121.6019417476,167,66,101,2026-07-12T09:09:56.639Z
CENTRAL,V0329,26723180.310000002,146028.30770491806,146,67,101,2026-07-12T09:09:56.639Z
CENTRAL,V0323,26300405.99,149434.1249431818,131,68,101,2026-07-12T09:09:56.639Z
CENTRAL,V0146,25773463.759999998,121002.1772769953,155,69,101,2026-07-12T09:09:56.639Z
CENTRAL,V0103,25755779.830000006,125028.0574271845,157,70,101,2026-07-12T09:09:56.639Z
CENTRAL,V0385,25422801.37999999,159891.8325786163,127,71,101,2026-07-12T09:09:56.639Z
CENTRAL,V0499,24721526.529999994,144570.33058479527,131,72,101,2026-07-12T09:09:56.639Z
