vendor_id,average_variance_percentage,has_overdue_invoice,vendor_risk,gold_load_timestamp
V0246,-4.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0255,-3.5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0214,-7.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0113,-3.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0175,-3.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0097,-3.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0366,-3.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0290,-3.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0072,-4.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0157,-4.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0464,-4.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0135,-2.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0217,-4.01,1,Medium Risk,2026-07-12T09:07:55.104Z
V0146,-5.24,1,Medium Risk,2026-07-12T09:07:55.104Z
V0241,-4.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0230,-2.7,1,Medium Risk,2026-07-12T09:07:55.104Z
V0415,-3.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0317,-7.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0048,-1.76,1,Medium Risk,2026-07-12T09:07:55.104Z
V0066,-4.7,1,Medium Risk,2026-07-12T09:07:55.104Z
V0301,-4.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0110,-2.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0027,2.89,1,Medium Risk,2026-07-12T09:07:55.104Z
V0408,-4.83,1,Medium Risk,2026-07-12T09:07:55.104Z
V0165,-4.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0393,-3.57,1,Medium Risk,2026-07-12T09:07:55.104Z
V0324,-3.15,1,Medium Risk,2026-07-12T09:07:55.104Z
