vendor_id,item_name,total_spend,average_invoice_amount,total_purchase_orders,total_quantity_purchased,latest_active_contract_price,total_vendors,gold_load_timestamp
V0246,Instrumentation Fasteners,5240734.3,524073.43,6,2574.0,2137.46,500,2026-07-11T20:39:56.570Z
V0255,Structural Conveyor Belt Premium,99224.03,24806.0075,4,839.0,372.53,500,2026-07-11T20:39:56.570Z
V0214,Safety Transformer Oil Heavy Duty,140879.89,35219.9725,2,296.0,480.06,500,2026-07-11T20:39:56.570Z
V0113,Safety Pressure Gauge Premium,113855.79000000001,56927.895000000004,1,574.0,190.38,500,2026-07-11T20:39:56.570Z
V0175,Safety Control Panel Heavy Duty,15458.14,15458.14,1,35.0,445.93,500,2026-07-11T20:39:56.570Z
V0097,Structural Bearing Kit,3539733.8900000006,442466.7362500001,6,2239.607043667749,1524.81,500,2026-07-11T20:39:56.570Z
V0366,Electrical Conveyor Belt,1873768.75,468442.1875,3,993.0,1895.61,500,2026-07-11T20:39:56.570Z
V0246,Structural Valves Standard,1018431.97,509215.985,2,590.0,3325.52,500,2026-07-11T20:39:56.570Z
V0246,Electrical Gearbox Premium,1881721.4000000001,268817.34285714285,5,1844.2023478892497,1138.01,500,2026-07-11T20:39:56.570Z
V0290,Electrical Pvc Pipe Kit,56304.09,56304.09,1,28.0,1972.56,500,2026-07-11T20:39:56.570Z
V0366,Safety Gearbox Premium,332549.27,166274.635,1,502.4046957784994,404.18,500,2026-07-11T20:39:56.570Z
V0290,Electrical Transformer Oil Kit,931006.33,310335.4433333333,3,1415.0,1926.14,500,2026-07-11T20:39:56.570Z
V0072,Safety Pneumatic Cylinder Kit,690857.54,69085.754,4,2985.0,224.7,500,2026-07-11T20:39:56.570Z
V0113,Electrical Lubricant Heavy Duty,776943.43,388471.715,2,414.0,2617.64,500,2026-07-11T20:39:56.570Z
V0157,Electrical Bearing Heavy Duty,183177.23,91588.615,2,524.0,1686.23,500,2026-07-11T20:39:56.570Z
V0246,Electrical Conveyor Belt,1605809.9500000002,267634.9916666667,4,1656.0,1736.23,500,2026-07-11T20:39:56.570Z
V0464,Electrical Steel Rod Kit,1071663.54,178610.59,4,1952.0,666.19,500,2026-07-11T20:39:56.570Z
V0175,Electrical Transformer Oil Kit,5006741.279999999,625842.6599999999,4,2694.0,1941.84,500,2026-07-11T20:39:56.570Z
V0366,Safety Hydraulic Pump Standard,68892.3,11482.050000000001,5,1500.0,110.79,500,2026-07-11T20:39:56.570Z
V0135,Instrumentation Electric Motor Premium,3491435.46,387937.2733333333,9,1381.0,2915.38,500,2026-07-11T20:39:56.570Z
V0217,Structural Copper Wire Premium,1104044.7,552022.35,2,524.0,2113.53,500,2026-07-11T20:39:56.570Z
V0135,Fluid Bearing Premium,745697.2,186424.3,4,797.0,900.49,500,2026-07-11T20:39:56.570Z
V0097,Instrumentation Bearing,5230840.42,1307710.105,2,1631.0,3052.81,500,2026-07-11T20:39:56.570Z
V0135,Instrumentation Flow Meter Premium,1881460.33,268780.04714285716,7,1708.0,1565.75,500,2026-07-11T20:39:56.570Z
V0146,Instrumentation Flow Meter Premium,877717.0299999999,109714.62874999999,3,1123.0,1405.61,500,2026-07-11T20:39:56.570Z
V0241,Structural Copper Wire Standard,495012.79000000004,165004.26333333334,2,671.0,0.0,500,2026-07-11T20:39:56.570Z
V0230,Mechanical Fasteners Heavy Duty,636276.16,79534.52,4,1602.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Instrumentation Bearing Premium,550202.72,78600.38857142857,4,1146.0,0.0,500,2026-07-11T20:39:56.570Z
V0072,Safety Conveyor Belt Standard,6374.389999999999,2124.7966666666666,1,48.0,0.0,500,2026-07-11T20:39:56.570Z
V0317,Electrical Gearbox Premium,703477.24,234492.41333333333,3,600.0,1182.16,500,2026-07-11T20:39:56.570Z
