invoice_id,po_id,vendor_id,invoiced_amount,invoice_date,payment_status
INV000001,PO015796,V0331,10987.63,2025-07-27,Pending
INV000002,,V0042,255425.76,2022-04-11,Paid
INV000003,PO076821,V0387,64409.53,2022-05-23,Paid
INV000004,PO054887,V0335,245503.38,2023-03-25,Pending
INV000005,PO006266,V0325,363693.51,2024-01-11,Paid
INV000006,PO082387,V0391,360988.74,2022-09-12,Paid
INV000007,PO037195,V0251,269806.29,2024-06-24,Paid
INV000008,PO087499,,256438.94,2024-10-08,Overdue
INV000009,PO044132,V0233,210017.8,2022-09-30,Paid
INV000010,PO060264,V0440,87707.22,2023-12-10,Paid
INV000011,PO016024,V0185,88854.94,2022-06-13,Paid
INV000012,PO041091,V0032,164240.13,2024-10-12,Overdue
INV000013,PO067222,V0454,1109364.35,2024-10-07,Paid
INV000014,PO064821,V0491,50392.47,2023-01-30,Overdue
INV000015,PO000770,V0272,308141.51,2024-07-03,Paid
INV000016,PO059736,V0496,183079.69,2022-08-29,Paid
INV000017,PO062956,V0105,50624.59,2024-10-29,Overdue
INV000018,PO064926,V0419,145192.02,2025-08-11,Paid
INV000019,PO067970,,241016.45,2022-12-18,Paid
INV000020,PO005312,V0271,208803.13,2023-11-16,Paid
INV000021,PO083105,V0464,24691.13,2022-05-22,Paid
INV000022,PO053708,V0074,2922.19,2024-03-12,Paid
INV000023,PO085306,V0108,1022934.3,2025-05-06,Overdue
INV000024,PO028694,V0187,189848.02,2023-02-21,Paid
INV000025,PO071933,V0240,68464.37,2024-11-04,Paid
INV000026,PO093017,V0012,310806.52,2023-05-11,Paid
INV000027,PO025659,V0022,53761.62,2023-07-14,Pending
INV000028,PO084479,V0065,19894.46,2023-06-30,Pending
INV000029,PO018432,V0348,177968.86,2024-07-18,Paid
INV000030,PO002748,V0082,126559.93,2025-07-22,Paid
INV000031,PO059151,V0112,174984.24,2023-02-11,Paid
INV000032,PO065726,V0321,133438.05,2025-05-26,Paid
INV000033,PO084655,V0404,264877.35,2024-05-13,Paid
INV000034,PO035774,V0295,135912.9,2025-08-28,Paid
INV000035,PO067436,V0485,15541.51,2022-06-22,Paid
INV000036,PO056887,V0171,80145.59,2024-08-30,Pending
INV000037,PO066804,V0037,87361.52,2025-06-10,Pending
INV000038,PO031552,V0075,80226.59,2025-06-01,Paid
INV000039,PO011395,V0301,20491.3,2025-05-24,Overdue
INV000040,PO069093,V0199,41717.79,2025-04-20,Paid
INV000041,PO003891,V0108,16164.06,2023-01-09,Paid
INV000042,PO041607,V0232,862879.48,2025-03-26,Paid
INV000043,PO096277,V0253,2255.53,2025-08-30,Paid
INV000044,PO080039,V0158,169687.82,2024-10-04,Paid
INV000045,PO087314,V0493,316240.3,2025-09-29,Pending
INV000046,PO010628,V0368,113070.56,2025-05-06,Paid
INV000047,PO008793,V0108,943490.67,2023-10-01,Paid
INV000048,PO073970,V0477,121095.07,2022-02-28,Paid
INV000049,PO043002,V0471,-91729.92,2023-10-15,Overdue
INV000050,,V0388,50585.34,2025-01-29,Paid
INV000051,PO023898,V0330,242994.75,2024-05-08,Overdue
INV000052,PO068149,V0394,55953.15,2022-09-01,Paid
INV000053,PO023484,V0253,207761.8,2025-09-29,Paid
INV000054,PO048556,V0129,323222.21,2023-03-05,Paid
INV000055,PO017160,V0433,384964.21,2025-11-19,Pending
INV000056,PO080078, V0402 ,73804.91,2025-11-26,Paid
INV000057,PO035921,V0158,88262.92,2023-02-19,Paid
INV000058,PO092068,V0477,12426.34,2025-12-03,Paid
INV000059,PO067122,V0220,363361.19,2022-12-21,Paid
INV000060,PO069480,V0426,40318.31,2024-12-08,Overdue
INV000061,PO089476,V0398,377272.96,2024-03-01,Pending
INV000062,PO019458,,87740.23,2025-10-01,Paid
INV000063,PO066558,V0466,368738.18,2024-01-25,Paid
INV000064,PO077190,V0466,273142.76,2025-11-16,Paid
INV000065,PO078954,V0435,94346.76,2025-01-27,Pending
INV000066,PO052996,V0387,1028.4,2023-07-08,Paid
INV000067,PO040758,V0019,33641.33,2025-09-27,Paid
INV000068,PO009693,V0351,11277.25,2025-07-22,Paid
INV000069,PO045759,V0396,80621.88,2024-12-04,Paid
INV000070,PO072410,V0373,170.79,2022-09-10,Paid
INV000071,PO071212,V0050,44456.61,2025-09-29,Paid
INV000072,PO065698,V0176,140944.78,2025-03-21,Paid
INV000073,PO037066,V0464,1689.58,2025-08-10,Paid
INV000074,PO092094,V0063,267337.54,2022-06-15,Pending
INV000075,PO099300,V0129,53506.57,2023-10-10,Overdue
INV000076,PO032607,V0041,53562.25,2024-02-11,Paid
INV000077,PO011535,V0398,80297.12,2022-07-04,Paid
INV000078,PO094664, V0147 ,846375.12,2022-07-13,Paid
INV000079,PO040398,V0152,59491.4,2023-12-02,Paid
INV000080,PO091388,V0390,3634.38,2022-11-24,Paid
INV000081,PO001017,V0265,83451.36,2024-09-17,Paid
INV000082,PO089790,V0286,23970.85,2025-02-10,Paid
INV000083,PO055592,V0192,15409.44,2025-05-18,Paid
INV000084,PO089813,V0259,76230.98,2022-02-06,Pending
INV000085,PO023248,V0025,146028.07,2023-03-08,Paid
INV000086,PO024301,V0071,157439.46,2025-03-27,Paid
INV000087,PO074066,V0336,127325.34,2025-08-18,Paid
INV000088,PO082799,V0002,60020.49,2023-12-07,Paid
INV000089,PO009269,V0267,142660.73,2024-07-29,Paid
INV000090,PO086808, V0357 ,604954.97,2024-07-15,Pending
INV000091,PO012186,V0153,87801.04,2024-11-27,Paid
INV000092,PO063705,V0421,19320.61,2023-08-15,Paid
INV000093,PO086780,V0416,160399.57,2025-10-01,Paid
INV000094,PO039100,V0213,2319.29,2025-01-29,Pending
INV000095,PO008572,V0119,50330.94,2024-10-27,Paid
INV000096,PO038045,V0102,382866.76,2024-12-29,Paid
INV000097,PO051215,V0407,25257.12,2025-10-03,Pending
INV000098,PO061229,V0363,134788.51,2022-05-02,Pending
INV000099,PO048985,V0477,49967.53,2025-06-08,Paid
INV000100,PO040775,V0206,133898.27,2022-11-04,Paid
INV000101,PO002569,V0122,134269.55,2025-08-16,Paid
INV000102,PO062593,V0109,367288.49,2022-08-20,Pending
INV000103,PO067564,V0453,281983.46,2023-03-15,Paid
INV000104,PO002696,V0176,20855.22,2025-02-17,Paid
